,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2017,Ormas,Himpunan Nelayan Seluruh Indonesia,Perjanjian Kerja Sama,Dirjen PT,04/PKS/DJPT-KKP/XI/2017,Ketua Umum,011/DPP HNSI/PKS/XI/2017,5,11/10/2017,11/10/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1WssyAf_n1CETl0HJN2-OwAILqC8okMLU/view?usp=drive_link
2017,BUMN,BRI,Perjanjian Kerja Sama,Dir. LPMUKP,05/PKS-LPMUKP/VIII/2017,Dir. BRI,B.973-DIR/INS/08/2017,5,8/25/2017,8/25/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1WoCJe4-cquw7M9v6Hks6mFkMIrlD4xhP/view?usp=drive_link
2017,BUMN,PT. PERTAMINA ,Perjanjian Kerja Sama,"Dir. SDM, TI, dan Umum",SP-008/K00000/2017-S0,Sekjen KKP,01/SJ/KKP/PKS/VI/2017,5,6/21/2017,6/21/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1io-7-4NMO1QNGUi7rfbgW5UllyOaPmwN/view?usp=drive_link
2017,K/L,LKPP,Nota Kesepahaman,Ka. LKPP,9 Tahun 2017,MKP,15/MEN-KP/KB/XII/2017,3,12/13/2017,12/13/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1BmQHRbB8i_GbaJde0L0jAYaIvJyVY5Ge/view?usp=drive_link
2017,BUMN,PT POS Indonesia,Perjanjian Kerja Sama,DirJen PRL,3/PRL/KKP/PKS/X/2017,Dirut PT Pos Indonesia,PKS.259/DIRUT/1017,3,10/31/2017,10/31/2020,Tidak Berlaku,Dokumen,https://drive.google.com/drive/folders/1StF072uFgAhfGrQT-Bzt-qgpchSRc-1c?usp=drive_link
2017,BUMN,BRI,Perjanjian Kerja Sama,Dirjen PT,03/PKS/DJPT-KKP/VIII/2017,Dir. BRI,B.974-DIR/PPK/08/2017,3,8/25/2017,8/25/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1OLCNORc7MCsQP-EPCDh3YbmgbdASzW73/view?usp=drive_link
2017,K/L,KPPPA,Kesepakatan Bersama,MKP,07/MEN-KP/KB/VI/2017,MenPPPA,21/KPP-PA/D.I/06/2017,3,6/16/2017,6/16/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1S0h1CWFPCtCiwYfP_SI0p1QBAfc17tYx/view?usp=drive_link
2017,BUMN,PLN,Kesepakatan Bersama,Sekjen KKP,,Dirut PLN,,3,6/16/2017,6/16/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1fGrRnlPbl_Qh_NrpDfWEOyQt4t9OaQBM/view?usp=drive_link
2017,K/L,LAPAN,Perjanjian Kerja Sama,Dirjen PSDKP,01/PKS-DJPSDKP/2017,Deputi Bidang Teknologi Penerbangan dan Antariksa,15/04/2017,3,4/18/2017,4/18/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1rWeo7UxSoYA89wKDKFH6M3gMSBVTmnwQ/view?usp=drive_link
2017,K/L,BPPT,Perjanjian Kerja Sama,Dirjen PB,04/PB/KKP/IV/2017,"Deputi Bidang Teknologi Agroindustri dan Bioteknologi,",23/PKS/BPPT-KKP/04/2017,3,4/18/2017,4/18/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/17qSm_N12_T53SMH-wzwVQnqoEa_V1vxZ/view?usp=drive_link
